Name,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,MulColorA
String,int,int,int,int,int,int,int
White,100,100,100,80,80,50,
White_BlueHint,100,100,100,50,60,60,
Cream,100,100,90,100,70,0,
Black,0,0,0,0,0,0,
Almost_Black,50,35,60,0,0,0,
Red,100,20,10,30,0,0,
Green,100,100,0,0,60,25,
Blue,10,100,100,0,0,40,
,,,,,,,
DarkGrey1,50,60,70,0,0,0,
DarkGrey2,50,80,100,0,0,0,
,,,,,,,
Grey1,80,90,100,0,0,0,
,,,,,,,
Blue1,10,65,100,60,60,60,
Blue2,0,80,100,0,0,60,
Blue3_Royal,35,60,90,0,0,20,
Blue4,12,48,58,43,17,22,
,,,,,,,
BlueGrey1,60,100,100,0,20,30,
,,,,,,,
LightGreyBlue1,100,100,100,0,40,60,
,,,,,,,
Purple1,100,70,100,20,0,0,
Purple2_SoftMid,70,40,70,50,0,50,
,,,,,,,
Magenta1,100,20,70,30,0,0,
Magenta2,90,10,70,0,0,0,
,,,,,,,
Red1,100,50,40,40,0,0,
Red2_Dirty,100,40,70,20,20,0,
Red3_DarkBrown,70,55,35,35,0,15,
Red4_Cherry,90,15,45,60,0,0,
Red5_CherryLight,90,40,70,80,0,0,
,,,,,,,
Dirty_Peach,80,80,75,60,10,10,
,,,,,,,
Pink1,100,80,100,60,0,20,
Pink2,100,50,100,50,0,50,
Pink3_Pastel,100,70,100,70,0,40,
Pink4_BrightPeach,100,90,90,130,40,40,
Pink5,100,50,90,100,40,40,
,,,,,,,
Green1,40,100,20,0,20,0,
Green2,0,100,0,0,80,0,
Green3_Dark,45,70,60,0,0,0,
Green3_LOlive,90,90,90,60,60,0,
,,,,,,,
GreenYellow1,100,100,30,0,40,0,
,,,,,,,
Brown1,100,60,60,0,0,0,
Brown2,100,90,60,60,0,0,
Brown3,100,100,100,80,40,0,
,,,,,,,
Orange1,100,100,40,60,0,0,
Orange2,100,100,60,80,0,0,
Orange3,100,100,60,100,40,0,
Orange4_Very,100,80,0,80,0,20,
,,,,,,,
Yellow1,100,100,0,80,0,0,
Yellow2_Bright,100,100,10,80,50,10,
Yellow3,100,100,0,80,40,40,
Yellow4,100,100,20,50,0,0,
Gold1,100,100,20,50,30,0,
Gold2_Old,100,100,20,30,0,0,
,,,,,,,
Beige1,100,100,100,60,60,60,
,,,,,,,
LightGrey1,100,100,100,10,40,80,
,,,,,,,
Tree_Green1,40,85,20,0,20,20,
Tree_Green2,40,85,20,0,32,20,
Tree_Green3,0,90,10,0,0,0,
Tree_Green4,0,55,40,0,0,0,
Tree_Jade,0,80,45,0,0,0,
,,,,,,,
Pink3,100,60,100,75,0,0,
Tree_Purple1,100,40,100,0,15,20,
Tree_Purple2,75,10,100,0,20,0,
Tree_LPurple,100,100,100,50,20,100,
Tree_Violet,60,50,100,0,0,0,
Tree_LViolet,100,60,100,60,60,60,
,,,,,,,
Tree_LBrown,100,85,55,10,0,0,
Tree_Brown,80,65,50,0,0,0,
Tree_Brown2,75,60,60,0,0,0,
Tree_Brown3,55,40,40,0,0,0,
Tree_Brown4,70,50,40,30,0,0,
Tree_Redbrown,70,50,50,15,15,15,
_Tree_Redbrown,65,55,50,25,0,0,
Brown5,100,63,10,34,49,0,
,,,,,,,
Tree_White,100,100,100,70,70,70,
Tree_Cream1,100,100,100,50,40,30,
Tree_Cream2,100,100,100,60,60,30,
Tree_None,100,100,100,5,5,5,
,,,,,,,
Tree_Gray,70,67,75,15,15,15,
Tree_LGray1,100,100,100,50,50,50,
Tree_LGray2,100,100,100,35,35,35,
Tree_DGray1,75,77,97,0,0,0,
Tree_DGray2,40,40,40,0,0,0,
Tree_DGray3,95,90,100,0,0,0,
,,,,,,,
Tree_Terracotta1,90,70,50,10,0,0,
Tree_Terracotta2,90,90,77,60,0,0,
Tree_Mustard,90,75,50,5,5,5,
,,,,,,,
Tree_LBlue,8,63,98,60,60,60,
Tree_LBlue2,75,100,70,0,0,100,
Tree_DBlue1,25,50,70,25,10,0,
Tree_DBlue2,15,65,90,50,0,0,
Tree_Aqua,0,100,100,0,0,50,
,,,,,,,
Pergola_Green1,100,100,0,6,30,0,
Pergola_Orange1,100,85,0,70,5,0,
Pergola_Yellow1,100,100,0,65,30,0,
,,,,,,,
Pergola_Yellow2,100,88,0,65,30,0,
Pergola_Purple1,88,36,100,0,0,0,
Pergola_Blue1,0,96,100,57,0,28,
,,,,,,,
Pergola_Pink,60,50,100,100,15,40,
Pergola_Yellow3,63,53,0,100,60,0,
Pergola_Blue3,20,75,100,25,50,58,
,,,,,,,
Pergola_Yellow4,83,87,22,92,63,83,
Pergola_Pink2,69,85,56,92,6,83,
,,,,,,,
Pergola_White1,71,80,76,117,102,87,
Pergola_Blue2,95,95,90,15,20,65,
Pergola_Brown1,100,85,70,45,45,50,
,,,,,,,
Pergola_Brown2,80,59,18,0,0,0,
Pergola_Brown3,75,40,0,32,10,30,
Pergola_Blue4,8,73,28,50,35,80,
,,,,,,,
Pergola_Pink3,100,54,50,68,62,66,
Pergola_White2,80,80,80,80,80,80,
Pergola_Yellow5,90,46,100,10,2,51,
,,,,,,,
Pergola_Brown4,100,70,0,0,0,0,
Pergola_Purple2,100,58,47,15,0,69,
,,,,,,,
Pergola_Blue5,40,50,80,19,23,38,
,,,,,,,
Pergola_Gold1,100,82,0,56,50,0,
Pergola_Gold2,100,100,0,60,0,0,
Pergola_Blue6,30,85,100,10,10,100,
Pergola_Grey1,50,55,100,20,10,0,
Pergola_Brown6,66,59,18,107,59,0,
,,,,,,,
Pergola_Green2,23,96,20,0,0,0,
Pergola_Green3,100,70,0,10,0,0,
Pergola_Green4,23,96,20,0,36,0,
,,,,,,,
Pergola_Orange2,100,70,0,30,0,0,
,,,,,,,
Pergola_Grey2,100,100,100,0,0,0,
Pergola_Grey3,40,100,100,80,38,90,
,,,,,,,
Pergola_White3,86,100,100,80,65,69,
Pergola_Lilac,80,60,100,35,0,70,
,,,,,,,
Pergola_Purple3,100,60,56,35,0,94,
